disposition,issue_code,issue_label,brand,part_ref,source_sku,source_display_id,part_name,relationship_count,hotspot_occurrences,schematics,candidate_evidence,required_action
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",platinum,4,4,4,"Handle End",8,8,platinum-corner-roller-handle|platinum-corner-finisher-handle|platinum-outside-corner-roller|platinum-flat-box-handle|platinum-flat-box|platinum-corner-finisher|platinum-corner-applicator-handle|platinum-compound-pump,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",platinum,1,1,1,"Handle Tube",8,8,platinum-corner-roller-handle|platinum-corner-finisher-handle|platinum-outside-corner-roller|platinum-flat-box-handle|platinum-flat-box|platinum-corner-finisher|platinum-corner-applicator-handle|platinum-compound-pump,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",platinum,3,3,3,"Wing Nut",8,8,platinum-corner-roller-handle|platinum-corner-finisher-handle|platinum-outside-corner-roller|platinum-flat-box-handle|platinum-flat-box|platinum-corner-finisher|platinum-corner-applicator-handle|platinum-compound-pump,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",platinum,2,2,2,"Ball Grip",7,7,platinum-corner-roller-handle|platinum-corner-finisher-handle|platinum-flat-box-handle|platinum-flat-box|platinum-corner-finisher|platinum-corner-applicator-handle|platinum-compound-pump,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",platinum,5,5,5,"Handle End",6,6,platinum-corner-finisher-handle|platinum-outside-corner-roller|platinum-flat-box-handle|platinum-flat-box|platinum-corner-finisher|platinum-compound-pump,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",platinum,6,6,6,"Roller Wheel",5,5,platinum-outside-corner-roller|platinum-flat-box-handle|platinum-flat-box|platinum-corner-finisher|platinum-compound-pump,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",platinum,7,7,7,"Corner Roller Handle Connecting Link",4,4,platinum-outside-corner-roller|platinum-flat-box-handle|platinum-corner-finisher|platinum-compound-pump,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",platinum,10,10,10,"Jam Nut",4,4,platinum-outside-corner-roller|platinum-flat-box-handle|platinum-flat-box|platinum-corner-finisher,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",platinum,9,9,9,"Corner Roller Handle Mounting Swivel",4,4,platinum-outside-corner-roller|platinum-flat-box-handle|platinum-flat-box|platinum-corner-finisher,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",platinum,16,16,16,"Large Pivot Pin",4,4,platinum-flat-box-handle|platinum-flat-box|platinum-corner-finisher|platinum-compound-pump,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",platinum,17,17,17,"Connector Plate",4,4,platinum-flat-box-handle|platinum-flat-box|platinum-corner-finisher|platinum-compound-pump,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",platinum,11,11,11,"Lock Nut",4,4,platinum-flat-box-handle|platinum-flat-box|platinum-corner-finisher|platinum-compound-pump,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",columbia,cf3,CF3,"CF 3","Skid - Flusher (CF3)",3,3,columbia-direct-corner-flusher|columbia-combo-flusher|columbia-standard-corner-flusher,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",columbia,cf2,CF2,"CF 2","Corner Flusher Wheel Retainer (CF2)",3,3,columbia-direct-corner-flusher|columbia-combo-flusher|columbia-standard-corner-flusher,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
source_identifier_correction,source_identifier_gap,"Source identifier is missing or too weak",platinum,8,8,8,"1/4-20 x 1-1/2 Hex Bolt",3,3,platinum-outside-corner-roller|platinum-flat-box-handle|platinum-flat-box,,"Populate or correct the authoritative manufacturer SKU/part identity in the schematic source. A callout/index alone is insufficient for product mapping."
